id,text,gold_input,gold_object,gold_output
11,"ЦМД генерируются в аморфной пленке магнитным полем определенной величины при определенных условиях. При помощи неоднородного магнитного поля ЦМД можно перемещать вдоль относительно неподвижной поверхности пленки. Скорость продвижения зависит от коэрцитивной силы аморфного магнетика, в котором генерируются ЦМД, диаметра домена, градиента напряженности магнитного поля, подвижности доменной стенки. При увеличении коэрцитивной силы скорость перемещения домена уменьшается. Скорость ЦМД в аморфных материалах в 3-6 раз ниже, чем в кристаллических.",Вход1. Коэрцитивная сила (А/м). Увеличение. Вход2. Магнитное поле. Неоднородное. Градиент напряженности магнитного поля (А/м**2).,"Аморфная пленка Gd-Co, Gd-Fe, Gd-Co-Ho, Co-Gd-Au, Gd-Co-Cr, Dy-Fe, Ho-Fe, Gd-Co-Ni и др.",Скорость перемещения ЦМД в магнитном поле (м/с). Уменьшение.
12,"ЦМД генерируются в аморфной пленке магнитным полем при выполнении определенных условий. Существует некоторая область значений напряженности внешнего поля, для которой характерно существование ЦМД. Hижняя граница области соответствует переходу в полосовой домен. Если напряженность поля превысит некоторое критическое значение, ЦМД мгновенно исчезают (направление намагниченности ЦМД противоположно направлению внешнего поля). При помощи неоднородного магнитного поля домены можно перемещать вдоль относительно неподвижной поверхности пленки. При увеличении диаметра домена его скорость увеличивается. ЦМД стабильны при толщине пленки =1/2 диаметра домена.",Вход1. Диаметр домена (м). Увеличение. Вход2. Магнитное поле. Неоднородное. Градиент напряженности магнитного поля (А/м**2).,"Пленка аморфного сплава Gd-Co, Gd-Fe, Gd-Co-Mo, Co-Gd-Au, Gd-Co-Cr, Dy-Fe, Ho-Fe, Gd-Co-Ni и др.",Скорость ЦМД в магнитном поле (м/с). Увеличение.
13,"Закалка из расплава - один из способов получения аморфных сплавов. Определяющими величинами для скорости охлаждения являются толщина слоя расплава и коэффициент теплопередачи. Скорость охлаждения уменьшается при увеличении толщины слоя при идеальном охлаждении (отсутствие слоев окислов и газа между расплавом и металлической подложкой) обратно пропорционально квадрату толщины, при Hьютоновском (коэффициент теплопередачи мал) обратно пропорционально толщине слоя. Для получения толщины слоя аморфного сплава 10**-2 м., например, при идеальном охлаждении скорость должна быть выше 10**12 К/с (сплав Fe(40)Ni(40)P(14)B(6) на медной подложке).",Толщина слоя расплава (м). Увеличение.,"Жидкий расплав металла на металлической подложке, например Fe(40)Ni(40)P(14)B(6) (METGLAS 2826), NiB(18,5), FeB(9-26), UCr(0-40), TiNi(0-50)Si(0-20), ZrBe(20-40)Nb(0-15) и др.",Скорость охлаждения расплава (К/с). Уменьшение.
14,"Ионное распыление происходит за счет бомбардировки мишеней из аморфных металлических материалов положительными ионами инертного газа, перемещающимися в электрическом поле. Распределение распыленных атомов мишени по направлениям носит косинусоидальный характер. По принципу создания плазмы высокой плотности системы высокоскоростного распыления делятся на трехэлектродные и магнетронные (к недостаткам последних относится неэффективность распыления магнитных материалов). Распылительные системы монтируются в вакуумной камере в атмосфере чистого инертного газа при низком давлении.","Вход1. Электрическое поле. Постоянное. Разность потенциалов (В). Вход2. Поток микрочастиц. Положительные ионы инертного газа. Энергия частицы (Дж). Увеличение от 0 до 1,6*10**-13 Дж.","Мишень из аморфного сплава, например, Mn(75,2)Nd(24,8), Fe(50)W(50), Co(67)Fe(5)Si(10)B(18), Fe(83,2)B(16,8), Tb-Fe, Fe-La, Co-Fe-Si-B и др.",Масса мишени (кг). Уменьшение.
15,"Магнитное состояние аморфного ферромагнетика оказывает влияние на его упругие свойства. Изменение модуля Юнга в магнитном поле (Дельта-Е эффект) зависит от предшествующей термомагнитной обработки, степени кристаллизации образца и др. факторов. При прохождении через ленту из аморфного сплава Fe(80)P(13)C(7) ультразвука наблюдается уменьшение Дельта-Е эффекта в зависимости от частоты колебаний. В материалах с большим Дельта-Е эффектом вблизи релаксационной частоты могут наблюдаться очень высокие потери.",Вход1. Магнитное поле. Постоянное. Напряженность магнитного поля (А/м) в области 6*10**2 -3*10**3 А/м. Вход2. Упругие (акустические) волны. Ультразвук. Частота колебаний (Гц). Увеличение от 10**8 до 2*10**9 Гц.,Лента из аморфного сплава Fe(80)P(13)C(7).,Модуль Юнга (Па). Уменьшение.
16,"Тонкие ленты (2,5*10**-5 м) c постоянным сечением разрушаются путем образования надрыва, толстые - могут разрушаться как в условиях плосконапряженного (надрыв), так и плоскодеформированного состояний. Пластины (5-7)*10**-5 м со значительным числом дефектов характеризуются минимальным значением вязкости разрушения, а пленки более высокого качества разрушаются при высоких значениях вязкости, независимо от толщины. Аморфные сплавы имеют высокую прочность и могут выдерживать большое количество циклов до разрушения при нагрузках, изменяющихся от минимальной до максимальной (0,99 номинального напряжения разрушения).",Силовое (механическое) воздействие. Растягивающие усилия. Напряжение (Па). Увеличение от 0 за предел прочности на растяжение.,"Лента, пленка, проволока из аморфного сплава, например, Pd-Cu-Si, Pd(78)Cu(6)Si(16), Fe(40)Ni(40)P(14)B(6).",Отношение площади свободной поверхности металла к объему (м**-1). Увеличение.
17,"В данной технологии тонкая струя жидкого металла при высокой скорости сталкивается с газовой струей. Газ при этом выполняет двойную функцию: разделяет струю металла на отдельные капли и служит для них закалочной средой. Принципиальное отличие ультразвукового способа газового распыления состоит в том, что газовые струи являются пульсирующими (частота пульсаций около 8*10**4 Гц). При этом предполагается, что под действием ультразвуковых импульсов отдельные капли жидкого металла вырываются из его струи. При использовании газообразного гелия (давление 8,1*10**6 Па), например, получен аморфный порошок из сплава Cu(60)Ir(40) с размером частиц меньше 5*10**-5 м.",Вход1. Поток вещества. Газ. Давление газа (Па). Вход2. Упругие (акустические) волны. Ультразвук. Частота колебаний (Гц). Около 8*10**4 Гц.,"Тонкая струя жидкого металла, например, Cu(60)Ir(40) и др.",Отношение площади свободной поверхности металла в порошке к объему (м**-1). Увеличение.
18,"В данной технологии сплав, который необходимо получить в виде аморфного порошка, используется в качестве электродов. Порошок образуется в каждом акте электрического разряда, во время которого малая часть электродов или плавится или испаряется и выбрасывается в окружающий диэлектрик, в котором происходит закаливание. Размеры частиц аморфного порошка, закаленного в додекане, например, имеющем наивысшую температуру испарения и скорость охлаждения, колеблются от 5*10**-5 до 5*10**-7 м, а скорость охлаждения для частиц размером 2*10**-5 м превышает 10**6 К/с и приближается к 10**9 К/с для частиц 5*10**-6 м. Методом искровой эрозии получено много аморфных ферромагнитных порошков.",Вход1. Электрическое поле. Напряженность электрического поля (В/м). Увеличение от 0 до пробоя диэлектрика. Вход2. Диэлектрическая жидкость. Температура испарения (К). Увеличение.,"Электроды из ферромагнитного аморфного сплава в жидком диэлектрике (додекан, бензол, вода, жидкий азот, жидкий аргон).",Размер частиц аморфного порошка (м). Уменьшение.
19,"При получении металлических порошков методом распыления расплава струя жидкого металла растягивается в пленку, которая дробится струей газа. Струя расплава приводится во вращательное движение относительно ее оси так, чтобы направление вращения струи было противоположно направлению вихревого газового потока. При распылении жидкого олова воздухом, например, увеличение угловой скорости струи от 0 до 105 рад/с приводит к уменьшению среднего диаметра частиц порошка от 8*10**-5 до 5,4*10**-5 м.",Вращательное движение струи расплава относительно ее оси. Угловая скорость (рад/с). Увеличение от 0.,"Струя жидкого металла в вихревом потоке нейтрального газа, например, олова в воздухе и др.",Диаметр частиц порошка (м). Уменьшение.
20,"Исходным материалом для порошка является лента, полученная закалкой из расплава. Если она не обладает достаточной хрупкостью непосредственно после получения, ее охрупчивают путем отжига в инертном газе или в водороде, если последний необходимо ввести в сплав. Охрупченная лента может быть превращена в порошок путем измельчения в шаровой мельнице, например, таким способом обычно получают порошок с размером частиц менее 10**-5 м. Форма частиц измельченного порошка представляет неправильные многогранники. Ввиду хрупкости такой порошок неудобен для компактирования с сохранением аморфной фазы и применяется для других целей.",Силовое (механическое) воздействие. Напряжение (Па). Увеличение до значений больше предела прочности.,Лента из аморфного металлического сплава.,Отношение площади поверхности металла в порошке к объему (м**-1). Увеличение.
21,"Поведение электросопротивления аморфной пленки иттербия, конденсируемой на охлаждаемую жидким гелием подложку, описывается следующим образом: с момента, когда пленка становится сплошной, сопротивление плавно уменьшается по мере увеличения толщины пленки. При достижении пленкой критической толщины (порядка 60-120 нм), при которой начинается спонтанно взрывная кристаллизация, значение электросопротивления скачком уменьшается на 75-80%, что обусловлено переходом в кристаллическую фазу. Дальнейшая конденсация сопровождается плавным уменьшением электросопротивления за счет увеличения толщины слоя.",Толщина пленки (нм). Увеличение до 10**2 нм.,Аморфные пленки иттербия на охлаждаемой подложке.,"Электрическое сопротивление (Ом). Уменьшение, скачкообразное уменьшение, уменьшение."
22,"При конденсации паров висмута на подложку, охлаждаемую жидким гелием (Т=4,2 К) образуется аморфная пленка висмута. С ростом толщины пленки ее электросопротивление ведет себя следующим образом: вплоть до достижения пленкой критической толщины Д(кр)=36 нм сопротивление практически равно 0, при Д(кр) наблюдается скачкообразное увеличение сопротивления, поскольку при переходе в кристаллическую фазу исчезает сверхпроводимость. Дальнейшее увеличение толщины слоя характеризуется плавным уменьшением сопротивления.",Толщина пленки (нм). Увеличение.,"Аморфная пленка висмута, конденсируемая на охлаждаемую подложку.","Электрическое сопротивление (Ом). Постоянство, скачкообразное увеличение, уменьшение."
23,"При воздействии на ионосферу Земли модулированного коротковолнового радиоизлучения ионосферные токи генерируют электромагнитные волны низкой частоты. Эффект обусловлен изменением ионосферных токов во времени с частотой модуляции коротковолнового излучения и является ярко выраженным нелинейным эффектом. Ионосфера как бы детектирует модулированный сигнал, извлекает из него и посылает к Земле низкочастотную составляющую.",Электромагнитное излучение. Высокочастотное. Модулированное. Радиоволны. Частота колебаний (Гц). 10**6-10**7 Гц.,"Ионосфера Земли, высота 70-110 км от поверхности Земли.",Электромагнитное излучение. Низкочастотное. Радиоволны. Частота колебаний (Гц). 10**3-10**4 Гц.
24,"При взаимодействии ультразвуковых волн и электромагнитного излучения видимого диапазона в нецентросимметричных кристаллах пьезополупроводников появляется медленно релаксирующее, периодическое в пространстве возмущение для показателя преломления, что приводит к рефракции света. Величина показателя преломления имеет ту же пространственную периодичность, что и звуковая волна.",Вход 1. Упругие (акустические) волны. Ультразвук. Длина волны (м). Вход 2. Электромагнитное излучение. Видимое. Длина волны (м).,Hецентросимметричные кристаллические пьезополупроводники.,Показатель преломления (безразмерная величина). Периодическое изменение в пространстве. Рефракция.
25,Активность (парциальное давление) кислорода в графите при соблюдении стандартных условий приготовления порошка графита однозначно определяется температурой. В температурном интервале (1550-1650) С активность кислорода пропорциональна температуре в степени (-1.66).,Температура (С). Увеличение от 1550 до 1650 С.,Спектрально чистый графит.,Активность кислорода (безразмерная величина). Уменьшение в интервале (2.239-2.009)*10**-4.
26,"По мере роста температуры бета-корундовой керамики, являющейся чисто ионным проводником по натрию, ее электрическое сопротивление при частоте тока 10 мГц уменьшается. Зависимость в координатах R/T - 1/T имеет линейный характер.",Температура (К). Увеличение от 340 до 1000 К.,Бета-корундовая керамика.,Электрическое сопротивление (Ом). Уменьшение.
27,"К этой группе относят взаимные расплавы Fe, Co, Ni и расплавы типа Ni-Au, Ni-Cu. Концентрационная зависимость электросопротивления этих расплавов в первом приближении имеет параболическую форму. Температурный коэффициент электросопротивления расплавов положителен.",Концентрация благородного металла (%). Увеличение от 0 до 100%.,Расплав переходного металла с благородным металлом.,Удельное электросопротивление (Ом*м). Немонотонное изменение (параболическое) в пределах (90-40)*10**-8 Ом*м.
28,"В жидком железе при 1650 град. С растворяется около 0,25% кислорода. Введение в расплав марганца приводит к снижению содержания кислорода вследствие образования окиси марганца MnO. При введении в расплав железа марганца в количестве 0,2%, 0,4% и 1,2% содержание кислорода составляет соответственно 0,2%, 0,15% и 0,008% при 1650 град. С в условиях равновесия.","Содержание марганца (%). Увеличение от 0,1 до 2%.","Расплав железа, содержащий кислород.","Содержание кислорода (%). Уменьшение от 0,25 до 0,05%."
29,"Кислород хорошо растворяется в жидком железе. При 1600 град. С содержание кислорода в нем составляет около 0,21%. Введение в расплав железа, содержащего кислород, углерода приводит к снижению содержания кислорода. Это связано с образованием двуокиси углерода CO(2) и удалении ее из жидкого металла. Так, при введении углерода в количестве 0,025%, 0,05% и 0,10% содержание кислорода составляет соответственно 0,1%, 0,05% и 0,025% при 1650 град. С в условиях равновесия.","Содержание углерода (%). Увеличение от 0,01 до 0,05%.","Расплав железа, содержащий кислород.","Содержание кислорода (%). Уменьшение от 0,26 до 0,01%."
30,"При увеличении в расплаве железа содержания металлоидов (углерода, фосфора или бора) более 1% происходит уменьшение температурного коэффициента удельного электросопротивления с 4*10**-10 ((Ом*м)/К) до 1.5*10**-10 ((Ом*м)/К). Минимум температурного коэффициента наблюдается при эвтектическом составе расплава (C-4.3%, B-3.9% или P-10.5%). Дальнейшее увеличение содержания металлоидов увеличивает температурный коэффициент удельного электросопротивления.",Относительная концентрация металлоидов (%). Увеличение от 0 до 12%.,"Расплав железа, содержащий металлоид.","Температурный коэффициент удельного электросопротивления ((Ом*м)/К). Уменьшение, затем увеличение."
31,"Давление - один из факторов, определяющих свойства тел. При высоких давлениях растет плотность многих металлов, модуль упругости, скорость распространения упругих волн, электрическое сопротивление и др. Очень высокие давления могут изменить электропроводность тела: у цезия при давлении 53200 атм резко повышается удельное электрическое сопротивление. При таком давлении цезий по своим свойствам приближается к диэлектрикам.",Силовое (механическое) воздействие. Высокое давление (Па). Увеличение.,Щелочный металл цезий.,Удельное электрическое сопротивление (Ом*м). Резкое увеличение.
32,"Причиной аномального температурного коэффициента модуля упругости элинваров является магнитострикционное расширение параметра решетки. При нагреве по мере приближения к точке Кюри аномальное расширение постепенно снимается. Добавляя к сплаву элинвар, имеющему положительный коэффициент модуля упругости, различные разбавители, понижающие величину аномалии (хром, молибден и др.), можно при определенном составе сплава достичь практической независимости упругости от температуры.",Температура (С). Увеличение от -50 до +50 С.,Сплав элинвар.,Модуль упругости (Па). Постоянство.
33,Изменение модуля сдвига (модуля касательной упругости) сталей при малых колебаниях температуры (от -50 до +50 С) незначительно. Влияние температуры увеличивается с повышением температуры: нагревание на 425 С (от 25 до 450 С) вызывает уменьшение модуля сдвига на 20%.,Температура (С). Увеличение от 25 до 450 С.,Сталь.,Модуль сдвига (модуль касательной упругости). Уменьшение.
34,Модуль Юнга (модуль нормальной упругости) сталей при малых колебаниях температуры (от -50 до +50 С) изменяется незначительно. Влияние температуры увеличивается по мере повышения температуры: нагревание на 425 С (от 25 до 450 С) вызывает уменьшение модуля Юнга на 20%.,Температура (С). Увеличение от 25 до 450 С.,Сталь.,Упругая деформация. Модуль Юнга (Па). Уменьшение.
35,"Сопротивление материала разрушению наряду с твердостью характеризуется ударной вязкостью, которая измеряется работой, расходуемой для ударного излома образца, отнесенной к единице площади поперечного сечения в месте излома. Для титановых образцов АТ2 при понижении температуры от комнатной до 77 К ударная вязкость поперечных образцов уменьшается в 3,4 раза, продольных в 1,8-1,5 раза. В интервале 77-4,2 К ударная вязкость изменяется очень мало. Для сплава ОТЧ-1 при верхней предельной концентрации (2,49% Al и 1,18% Mn) ударная вязкость при снижении температуры до 20 К резко уменьшается от (9,6 до 3,3)**5 Дж/м**2.","Температура (К). Уменьшение от 293 до 4,2 К.","Титановый сплав АТ2, ОТЧ-1.",Ударная вязкость (Дж/м**2). Уменьшение.
36,"Предел текучести у сплава с 25% Ni больше, чем у сплава с 10% Ni для всего интервала низких температур. Увеличение содержания никеля незначительно изменяет предел текучести сплавов при комнатной температуре. При 77,2 и 4,2 К на кривых зависимости предела текучести от концентрации имеется максимум, соответствующий содержанию никеля -20%. Снижение предела текучести при 20 и 4,2 К по сравнению с максимальным значением достигает 20%.",Массовая концентрация никеля (кг/м**3). Увеличение.,Fe-Cr-Ni сплав.,Пластическая деформация. Предел текучести (Па). Немонотонное изменение.
37,"Если к образцу двухдолинного полупроводника с N-образной вольт-амперной характеристикой приложить постоянное напряжение, то в образце периодически появляется, перемещается по нему и исчезает область сильного электрического поля, называемая доменом Ганна. Домен возникает в результате того, что однородное распределение электрического поля при объемном отрицательном дифференциальном сопротивлении неустойчиво. Распределение электрического поля вдоль длины образца представляет собой немонотонную кривую с перемещающимся по нему максимумом.",Электрическое поле. Однородное. Постоянное. Разность потенциалов (В).,"Двухдолинные полупроводники (GaAs, InP, CdTe, ZnS, InSb, InAs, Ge и др.).",Электрическое поле. Неоднородное. Постоянное. Сильное. Напряженность электрического поля (В/м). Немонотонное изменение.
38,"В присутствии сильного внешнего электрического поля в проводнике увеличивается вероятность поглощения квантов электромагнитного излучения - собственного поглощения фотонов, сопровождаемого туннелированием электронов (дырок) через энергетический барьер в зону проводимости. С увеличением электрического поля и энергии фотонов толщина барьера уменьшается и туннельный электронный переход становится более вероятным. При больших полях (в области энергий поля, превышающих ширину запрещенной зоны) спектр поглощения имеет вид осциллирующей кривой с затуханием.",Вход1. Электромагнитное излучение. Спектр. Энергия фотона (эВ). Увеличение в диапазоне 1.45 - 1.6 эВ. Вход2. Электрическое поле. Постоянное. Сильное. Напряженность электрического поля (В/м). Порядка 4*10**6 В/м.,"Полупроводник с собственной проводимостью, типа GaAs.",Коэффициент поглощения (м**-1). Периодическая зависимость с затуханием в диапазоне 12000 - 3000 м**-1.
39,"Эффектом пьезосопротивления называют изменение удельного электрического сопротивления полупроводника в результате действия внешнего одноосного механического напряжения или гидростатического давления. Haпример, для образца кремния n-типа вплоть до гидростатического давления X=2*10**10 Па, сообщаемого образцу непроводящей жидкостью, наблюдается линейное уменьшение логарифма сопротивления с ростом X. Вслед за этим происходит резкое падение сопротивления почти на 6 порядков величины. Такое падение сопротивления может быть связано с фазовым переходом в решетке кремния.",Силовое (механическое) воздействие. Напряжение (Па). Увеличение.,"Полупроводник, например n-Ge, p-Ge, n-Si, p-Si, n-GaAs, n-InP и др.",Удельное электрическое сопротивление (Ом*м). Уменьшение.
40,"Под магнитоэлектрическим эффектом (МЭ) понимают связь между электрической и магнитной подсистемами в кристаллических твердых телах, проявляющуюся в возникновении поляризации под действием магнитного поля. МЭ обычно описывают с помощью коэффициента a = P/H или b=E/H, где P- поляризованность, E и H - напряженности электрического и магнитного полей. Для классического магнитоэлектрического материала Cr2O3 величина МЭ-эффекта a=3*10^-10 Кл/м2Э и проявляется он только при низких температурах. Однако найдены материалы, в которых значение МЭ-эффекта на два порядка больше и проявляются они при более высоких температурах. Такой эффект называется гигантским. Так в феррите висмута при приложении сильного магнитного поля при некотором значение критического поля (~ 200 кЭ ) приводит к резкому скачку поляризации и возникновению линейного магнитоэлектрического эффекта с a= 10^-10 Кл/м2Э. В соединениях феррита висмута Bi(1-x)R(x)FeO(3) ( R - лантан, гадолиний и диспрозий) гигантский МЭ-эффект наблюдается при значительно меньших значениях H. Большие значения МЭ-эффектов могут быть получены в композитных материалах, т.е. в структурах, состоящих из чередующихся магнитострикционных и пьезоэлектрических слоев.","Магнитное поле. Постоянное, переменное. Напряжённость магнитного поля (А/М). Увеличение.","Состояние объекта: Однофазное. Твердое тело, кристаллическое твердое тело, диэлектрик, сегнетоэлектрик, антиферромагнетик, многокомпонентный, тонкая пленка.",Поляризованность (КЛ/М^2). Линейное.
