id,name,description,canonical_description,description_hash,input_params,output_params,object,application,literature
275,Закон Пуазейля,"Закон течения жидкости в тонкой цилиндрической трубке: объем жидкости, протекающей за секунду через поперечное се чение трубки (объемный расход), прямо пропорционален раз ности давлений у входа в трубку и на выходе из нее, четвер той степени диаметра трубки и обратно пропорционален длине трубки и коэффициенту вязкости жидкости.Закон применим только при ламинарном течении жидкости.","закон течения жидкости в тонкой цилиндрической трубке:объем жидкости,протекающей за секунду через поперечное се чение трубки(объемный расход),прямо пропорционален раз ности давлений у входа в трубку и на выходе из нее,четвер той степени диаметра трубки и обратно пропорционален длине трубки и коэффициенту вязкости жидкости.закон применим только при ламинарном течении жидкости.",c774f17a4f829c059726d5379dc9352c,Силовое (механическое) воздействие.Разность давлений (Па). Увеличение.,Поток жидкости.Объемный расход (м**3/с).Увеличение.,Тонкая цилиндрическая трубка.,Для определения коэффициента вязкости жидкостей при различ ных температурах с помощью капиллярных вискозиметров; для расчета расхода жидкостей при их ламинарном движении в тру бах.,"1.Лойцянский Л.Г. Механика жидкости и газа.-М.: Hаука, 1970. 2.Тарг С.М. Основные задачи теории ламинарных течений.М.-Л.,1951. 3.Барр Г. Вискозиметрия.Пер.с анг.-М.-Л.,1938. Отчет ИвЭИ, 1984 г., книга 4, стр.108."
276,Влияние освещения на спонтанную поляризацию сегнетоэлек триков,При воздействии на кристалл сегнетоэлектрика импульсом ла зерного излучения происходит резкое увеличение спонтанной поляризации с последующим ее постепенным уменьшением.Н,при воздействии на кристалл сегнетоэлектрика импульсом ла зерного излучения происходит резкое увеличение спонтанной поляризации с последующим ее постепенным уменьшением.н,a3b4206b1a3b27d21993f358cac1bbbb,Вход: Электромагнитное излучение. Импульсное. Лазерное. Интенсивность излучения (Вт/м^2).,Поляризованность (Кл/м^2). Немонотонное изменение.,"Сегнетоэлектрический кристалл, например LiTaO(3),LiNbO(3).",Для регистрации коротких (пикосекундных) световых импуль сов.,"1. Фридкин В.М. Фотосегнетоэлектрики. - М.: Hаука, 1979, с. 127-129."
277,Электролюминесценция,"Люминесценция, возбуждаемая электрическим полем.Атомы вещества переходят в возбужденное состояние в результате возникновения в нем какой-либо формы электрического разря да. Haиболее важными являются инжекционная и предпробойная электролюминесценция.","люминесценция,возбуждаемая электрическим полем.атомы вещества переходят в возбужденное состояние в результате возникновения в нем какой-либо формы электрического разря да.haиболее важными являются инжекционная и предпробойная электролюминесценция.",ffe66dbc614e6b3e749921a4cf131926,Электрическое поле.Разность потенциалов (В).,Электромагнитное излучение.Ультрафиолетовое.Видимое (свет). Инфракрасное.Длина волны (м).От 2*10**-7 до 2*10**-3 м.,"Heоднородный полупроводник, газ, электролюминофор, твердый люминофор, например, SiC, GaP, GaAs, ZnS, активированный Cu или Al.","В индикаторных устройствах (электролюминесцентные знаковые индикаторы,преобразователи изображений); в инжекторных ла зерах; для управления источником света (электролюминесцент ные конденсаторы).","1.Физический энциклопедический словарь.-М.:Советская энциклопедия,1983.-928с. 2.Верещагин П.К. Электролюминесценция кристаллов.-М.: Haука, 1974.-279с. 3.Справочник по лазерам.т.1/Под.ред.Прохорова А.М.-М.: Советское радио,1978.-503с. Отчет ВолгПИ, 1984 г."
278,Распространение геликоновой волны в твердотельной плазме,"Твердотельная плазма отражает электромагнитные волны,которые проникают в проводник только на толщину скин-слоя.Однако,при помещении плазмы во внешнее постоянное магнитное поле,она становится прозрачной для электромагнитных волн.Магнитное поле сильно снижает экранирующую способность проводящей среды,и в ней вдоль направления поля распространяются слабозатухающие низкочастотные электромагнитные волны с эллиптической поляризацией-геликоны.Во всех других направлениях эти волны сильно затухают.Скорость геликона и его затухание зависят от концентрации и подвижности свободных носителей заряда в плазме и напряженности магнитного поля.","твердотельная плазма отражает электромагнитные волны,которые проникают в проводник только на толщину скин-слоя.однако,при помещении плазмы во внешнее постоянное магнитное поле,она становится прозрачной для электромагнитных волн.магнитное поле сильно снижает экранирующую способность проводящей среды,и в ней вдоль направления поля распространяются слабозатухающие низкочастотные электромагнитные волны с эллиптической поляризацией-геликоны.во всех других направлениях эти волны сильно затухают.скорость геликона и его затухание зависят от концентрации и подвижности свободных носителей заряда в плазме и напряженности магнитного поля.",61e9274a6d0d9952888861917081dd5f,Вход 1. Электромагнитное излучение. Частота колебаний (Гц).Вход 2. Магнитное поле. Постоянное. Напряженность магнитного поля (А/м).,Электромагнитное излучение. Эллиптически поляризованное.Частота колебаний (Гц).,Плазма в металлах и полупроводниках (твердотельная плазма).,"Для создания устройств управления скоростью и направлением распространения электромагнитных волн,для определения электрических параметров полупроводников.","1. Гинзбург В.П. Распространение электромагнитных волн в плазме.-М.: Haука, 1967.-683 с. 2. Лауринавичус А.К., Малакаускас П.З., Пожела Ю.К. Геликонный пучок в полупроводниковой плазме. Физика и техника полупроводников, 1984, т.18, N 6, с.156."
279,Зависимость угла поворота плоскости поляризации электромаг нитного излучения от напряженности магнитного поля,"Оптически неактивное вещество, помещенное в магнитное поле, поворачивает плоскость поляризации электромагнитного излучения, распространяющегося в нем вдоль направления поля Угол поворота плоскости поляризации равен произведению на пряженности магнитного поля, длины луча в веществе и посто янной Верде.","оптически неактивное вещество,помещенное в магнитное поле,поворачивает плоскость поляризации электромагнитного излучения,распространяющегося в нем вдоль направления поля угол поворота плоскости поляризации равен произведению на пряженности магнитного поля,длины луча в веществе и посто янной верде.",68f0296c6d7d025069e33abbe1fa75c5,Вход1:Магнитное поле.Однородное.Напряженность магнитного поля (А/м). Вход2:Электромагнитное излучение.Линейно-поляризованное.Мо нохроматическое.Длина волны (м).,Угол поворота плоскости поляризации (градус).,"Оптически неактивное вещество (например, гелий,сероуглерод, вода, спирт, бензин, кварц, стекло и др.).",Используется в приборостроении и для научных исследований.,"1. Ландсберг Г.С. Оптика, изд.5.-М.:Hаука, 1976.-118 с. 2. Волькенштейн В.М. Молекулярная оптика.-М.-Л., 1951. 3. Физический энциклопедический словарь.-М.: Советская энциклопедия, 1983.-928 с. 4. Шерклифф Х. Поляризованный свет.-М.: Мир, 1965. 264 с. Отчет ИвГУ, 1985 г., книга 2, с.409.Н"
280,Зависимость показателя преломления разбавленных растворов от концентрации растворенного вещества,"При растворении некоторого вещества в растворителе из меняется плотность раствора, а также удельная рефракция, что приводит к зависимости показателя преломления от кон центрации растворенного вещества. При небольших концентра циях (<=10%) выполняется соотношение: n=n(0)+кс, где n(0) показатель преломления раствора; с- концентрация растворен ного вещества; к- константа, зависящая от природы раство ренного вещества и растворителя. При больших концентрациях зависимость n=n(с) отклоняется от линейной и может быть ап роксимирована полиномом 2 или 3 степени.","при растворении некоторого вещества в растворителе из меняется плотность раствора,а также удельная рефракция,что приводит к зависимости показателя преломления от кон центрации растворенного вещества.при небольших концентра циях(<=10%)выполняется соотношение:n=n(0)+кс,где n(0)показатель преломления раствора;с- концентрация растворен ного вещества;к- константа,зависящая от природы раство ренного вещества и растворителя.при больших концентрациях зависимость n=n(с)отклоняется от линейной и может быть ап роксимирована полиномом 2 или 3 степени.",8099d8fc576718ff2590dd442d664fd3,Относительная концентрация растворенного вещества (безраз мерная величина). Увеличение.,Показатель преломления (безразмерная величина). Увеличение.,"Разбавленный раствор (раствор какого-либо растворимого ве щества в жидкости небольшой концентрации, до 10%).",Для определения концентрации вещества в растворах.,"1.Иоффе Б.В.Рефрактометрические методы в химии.-Л.: Химия,1974.-400 с. 2.Борн Б.,Вольф Э.Основы оптики.-М.:Haука,1970.-855 с. 3.Практикум по физической химии/Под ред. С.В.Горбачева. М.:Высшая школа,1974.-496 с. Отчет ИвГУ, 1985 г., книга 2,стр.225-230."
281,Зависимость магнитной восприимчивости антиферромагнетиков от напряженности внешнего магнитного поля,"Магнитная восприимчивость антиферромагнетиков при сла бых магнитных полях (напряженность магнитного поля до 10**4 А/м) практически не зависит от напряженности магнит ного поля, при напряженности магнитного поля выше 10**4 10**5 А/м магнитная восприимчивость убывает.","магнитная восприимчивость антиферромагнетиков при сла бых магнитных полях(напряженность магнитного поля до 10**4 а/м)практически не зависит от напряженности магнит ного поля,при напряженности магнитного поля выше 10**4 10**5 а/м магнитная восприимчивость убывает.",7741d5231f899629ff864ae38de705ee,Магнитное поле.Напряженность магнитного поля (А/м).Увеличе ние.,Магнитная восприимчивость (величина безразмерная).Постоян ство или уменьшение.,Антиферромагнетик.,В физике магнитных явлений.,"1.Физический энциклопедический словарь.-М.:Советская энциклопедия,1983.-928 с."
282,Зависимость показателя преломления газов от давления,При увеличении давления газа его показатель преломления возрастает. Зависимость показателя преломления от давления в широком диапазоне изменения давления может быть выражена полиномом некоторой степени.,при увеличении давления газа его показатель преломления возрастает.зависимость показателя преломления от давления в широком диапазоне изменения давления может быть выражена полиномом некоторой степени.,23c848ef2f982624ddf0abe3552f923b,Давление (Па).Увеличение от 10**5 до 10**10 Па.,Показатель преломления (величина безразмерная).Увеличение.,Газ.,"Учитывается при построении точных газонаполненных оптичес ких приборов, при измерении показателей преломления различ ных тел.","1.Иоффе Б.В.Рефрактометрические методы в химии.-Л.: Химия,1974.-400 с. 2.Кошкин И.,Ширкевич М.Г. Справочник по элементарной физике.-М.:Hаука, 1974.-256 с. 3.Zander D.W. Montolvo R.A. Jour Chem.Phis.49,1968, p.2836. Отчет ИвГУ,1985 г.,стр.248."
283,Зависимость показателя преломления от плотности газа,"Показатель преломления газа увеличивается с увеличением его плотности, зависимость носит сложный квадратичный ха рактер.","показатель преломления газа увеличивается с увеличением его плотности,зависимость носит сложный квадратичный ха рактер.",990b264f4a6fe1ed071f1d71be604f4c,Плотность (кг/м**3).Увеличение.,Показатель преломления (величина безразмерная).Увеличение.,Газ.,В оптических методах исследования распределения плотности газа в пространстве.,"1.Борн М.,Вольф Э.Основы оптики.Пер.с англ.-М.:1973. 2.Холдер Д.,Порт Р.Теневые методы в аэродинамике.Пер.с англ.,-М.:1966 Отчет ИвЭИ,1984 г.,книга 4, стр.100."
284,Зависимость вязкости жидкости от давления,"Вязкость в жидкости обусловлена в первую очередь межмо лекулярным взаимодействием, ограничивающим подвижность мо лекул.При высоких давлениях вязкость жидкости быстро воз растает с увеличением давления.Увеличение давления до нес кольких тысяч атмосфер приводит к увеличению вязкости в де сятки и сотни раз.Строгой теории вязкости жидкости нет, на практике широко применяют ряд эмпирических и полуэмпиричес ких формул, достаточно хорошо отражающих зависимость вязко сти от давления.","вязкость в жидкости обусловлена в первую очередь межмо лекулярным взаимодействием,ограничивающим подвижность мо лекул.при высоких давлениях вязкость жидкости быстро воз растает с увеличением давления.увеличение давления до нес кольких тысяч атмосфер приводит к увеличению вязкости в де сятки и сотни раз.строгой теории вязкости жидкости нет,на практике широко применяют ряд эмпирических и полуэмпиричес ких формул,достаточно хорошо отражающих зависимость вязко сти от давления.",b1fa482a60c70da6bfe782fc9996feb5,Давление (Па).Увеличение.,"Динамическая вязкость (Па*с).Увеличение от 10**-4 до 1,5 Па*с.",Жидкость.,В физико-химическом анализе.,"1.Галичек Э.Вязкость жидкостей.Пер.с англ.2 изд.М.-Л., 1935 г. 2.Френкель Я.И.Кинетическая теория жидкостей.М.-Л.,1975 Отчет ИвЭИ,1984 г.,книга 4, стр.74."
285,Зависимость вязкости газов от температуры,"Вязкость газов - следствие хаотического (теплового) движения молекул, в результате которого происходит постоян ный обмен молекулами между движущимися друг относительно друга слоями газа.Вязкость газов увеличивается при нагрева нии. Hа практике широко применяют ряд эмпирических формул, достаточно хорошо отражающих зависимость вязкости отдельных классов газов от температуры.","вязкость газов - следствие хаотического(теплового)движения молекул,в результате которого происходит постоян ный обмен молекулами между движущимися друг относительно друга слоями газа.вязкость газов увеличивается при нагрева нии.hа практике широко применяют ряд эмпирических формул,достаточно хорошо отражающих зависимость вязкости отдельных классов газов от температуры.",f0018d0c641abbda9923e758de15af2c,Температура (К).Увеличение.,Динамическая вязкость (Па*с).Увеличение.,Газ.,,"1.Голубев И.Ф.Вязкость газов и газовых смесей.-М.:Hау ка,1959. 2.Гиршфельдер Дж. Кертис И., Берд Р.Молекулярная теория газов и жидкостей.Пер.с англ.-М.:Hаука, 1961. Отчет ИвЭИ, 1984 г., книга 4, стр.80."
286,Зависимость вязкости жидкости от температуры,"Вязкость - свойство текучих тел (жидкостей и газов) оказывать сопротивление перемещению одной их части относи тельно другой.Вязкость жидкостей резко снижается с повыше нием температуры.Строгой теории вязкости жидкости нет, на практике широко применяют ряд эмпирических и полуэмпиричес ких формул, достаточно хорошо отражающих зависимость вязко сти отдельных классов жидкостей и растворов от температуры.","вязкость - свойство текучих тел(жидкостей и газов)оказывать сопротивление перемещению одной их части относи тельно другой.вязкость жидкостей резко снижается с повыше нием температуры.строгой теории вязкости жидкости нет,на практике широко применяют ряд эмпирических и полуэмпиричес ких формул,достаточно хорошо отражающих зависимость вязко сти отдельных классов жидкостей и растворов от температуры.",d080ea09b6d2dbfeaba9895d7b1a87f4,Температура (К).Увеличение.,Динамическая вязкость (Па*с).Уменьшение.,Жидкость.,В физико-химическом анализе.,"1.Гатчек Э.Вязкость жидкостей.Пер.с англ.2 изд.М.-Л.: 1935 г. 2.Финкель Я.И.Кинетическая теория жидкостей.-М.-Л.:1975 Отчет ИвЭИ,1984 г.,книга 4, стр.68."
287,Пьезомагнитный эффект,"Пьезомагнитный эффект (пьезомагнетизм) - возникновение в веществе магнитного момента при деформации. Пьезомагнетизм возможен только в антиферро- и ферромагнетиках и принципи ально невозможен в диа- и парамагнетиках. Пьезомагнитный момент сравнительно мал, поэтому практически наблюдается только в антиферромагнетиках, которые в нормальных услови ях не обладают спонтанным магнитным моментом. Величина пь езомагнитного момента единицы объема (намагниченность) про порциональна упругому напряжению. Пьезомагнитный момент мо жет быть направлен перпендикулярно к направлению спонтанной намагниченности магнитных подрешеток или параллельно ему. В первом случае возникает скос векторов подрешеток, приво дящий к возникновению пьезомагнитного момента. Продольный пьезомагнетизм связан с изменением намагниченности подреше ток. Пьезомагнетизм существенно зависит от доменной струк туры и в чистом виде наблюдается только в однодоменных об разцах (в многодоменных он сильно ослаблен). Обратным эф фектом пьезомагнитизма является линейная магнитострикция.","пьезомагнитный эффект(пьезомагнетизм)- возникновение в веществе магнитного момента при деформации.пьезомагнетизм возможен только в антиферро- и ферромагнетиках и принципи ально невозможен в диа- и парамагнетиках.пьезомагнитный момент сравнительно мал,поэтому практически наблюдается только в антиферромагнетиках,которые в нормальных услови ях не обладают спонтанным магнитным моментом.величина пь езомагнитного момента единицы объема(намагниченность)про порциональна упругому напряжению.пьезомагнитный момент мо жет быть направлен перпендикулярно к направлению спонтанной намагниченности магнитных подрешеток или параллельно ему.в первом случае возникает скос векторов подрешеток,приво дящий к возникновению пьезомагнитного момента.продольный пьезомагнетизм связан с изменением намагниченности подреше ток.пьезомагнетизм существенно зависит от доменной струк туры и в чистом виде наблюдается только в однодоменных об разцах(в многодоменных он сильно ослаблен).обратным эф фектом пьезомагнитизма является линейная магнитострикция.",6b88705052efdf9ffb4b020173932b22,Силовое (механическое) воздействие.Hапряжение (Па). Увеличение.,Намагниченность (А/м). Увеличение.,"Антиферромагнетик, ферромагнетик, например CoFe(2), MnF(2), FeCo(3), альфа-Fe(2)O(3).",Используется для получения однодоменных антиферромагнитных кристаллов при охлаждении из парамагнитного состояния при соответствующей деформации.,"1. Физический энциклопедический словарь.-М.: Советская энциклопедия, 1984, с. 597. 2. Физическая энциклопедия.-М.: Большая Российская эн циклопедия, т. 4, 1994, с. 185,186. Отчет МарПИ, 1984 г., с. 241."
288,Эффект Томсона,"Термоэлектрический эффект Томсона - выделение или поглоще ние теплоты при прохождении тока по однородному проводнику, вдоль которого имеется градиент температуры. Количество теплоты, которое выделяется (поглощается) в единицу времени в элементе проводника длины dL зависит от направления тока и определяется выражением: dQ = S*dL*I*dT/dL, где S - коэф фициент Томсона, зависящий от материала проводника и темпе ратуры; I - сила тока; dL/dT - градиент температуры. Тепло та Томсона выделяется, если ток в проводнике идет от холод ного конца к горячему, а электроны перемещаются из мест с более высокой температурой в места с более низкой и отдают избыток энергии решетке. При изменении направления тока на этом же участке проводника электроны переходят из менее на гретых областей в более нагретые, заимствуя энергию у ре шетки. Если носителями тока являются дырки, эффект имеет обратный знак. В неравномерно нагретом проводнике одновре менно имеют место эффекты Томсона и Джоуля-Ленца, но в от личие от теплоты Джоуля, теплота Томсона пропорциональна первой степени силы тока. При очень слабои токе, например, I = 0.5 mA, градиенте температуры 100 K/м, удельном сопро тивлении проводника (натрий) 5*10**-8 Ом/м, площади сече ния 5*10**-6 м**2 и коэффициенте Томсона S = -8.5*10**-6 В/К теплота Томсона в 170 раз больше теплоты Джоуля, а при токе 0.5 А теплота Джоуля в 6 раз больше теплоты Томсона. Эффект Томсона связан с другими термоэлектрическими явлени ями - эффектами Пельтье и Зеебека. Между коэффициентами То мсона, Пельтье и дифференциальной термоэдс существуют опре деленные термодинамические соотношения.","термоэлектрический эффект томсона - выделение или поглоще ние теплоты при прохождении тока по однородному проводнику,вдоль которого имеется градиент температуры.количество теплоты,которое выделяется(поглощается)в единицу времени в элементе проводника длины dl зависит от направления тока и определяется выражением:dq = s*dl*i*dt/dl,где s - коэф фициент томсона,зависящий от материала проводника и темпе ратуры;i - сила тока;dl/dt - градиент температуры.тепло та томсона выделяется,если ток в проводнике идет от холод ного конца к горячему,а электроны перемещаются из мест с более высокой температурой в места с более низкой и отдают избыток энергии решетке.при изменении направления тока на этом же участке проводника электроны переходят из менее на гретых областей в более нагретые,заимствуя энергию у ре шетки.если носителями тока являются дырки,эффект имеет обратный знак.в неравномерно нагретом проводнике одновре менно имеют место эффекты томсона и джоуля-ленца,но в от личие от теплоты джоуля,теплота томсона пропорциональна первой степени силы тока.при очень слабои токе,например,i = 0.5 ma,градиенте температуры 100 k/м,удельном сопро тивлении проводника(натрий)5*10**-8 ом/м,площади сече ния 5*10**-6 м**2 и коэффициенте томсона s = -8.5*10**-6 в/к теплота томсона в 170 раз больше теплоты джоуля,а при токе 0.5 а теплота джоуля в 6 раз больше теплоты томсона.эффект томсона связан с другими термоэлектрическими явлени ями - эффектами пельтье и зеебека.между коэффициентами то мсона,пельтье и дифференциальной термоэдс существуют опре деленные термодинамические соотношения.",78c8685ea9b4f9c63012d80be014c2b9,Вход 1: Электрический ток. Постоянный. Электронный. Сила электрического тока (А). Вход 2: Градиент температуры вдоль проводника (К/м). Уве личение.,"Поток тепла.Постоянный. Количество теплоты, выделенное или поглощенное (Дж). Увеличение.","Однородный металлический проводник, полупроводник, напри мер, Ag, Au, Na, Pd, Cu, Co, монокристаллический Zn или Cd, сплав Армко.","В термоэлектрических измерительных приборах: амперметрах, вольтметрах, термоэлектрических термометрах; используется для вычисления коэффициентов абсолютной термоэдс металлов по их коэффициентам Томсона.","1. Физический энциклопедический словарь.- М.: Советская энциклопедия, 1984, с. 757, 762. 2. Савельев И.В. Курс общей физики. т.3.-М.: Hаука, Н 1987, с. 218-224. 3. Таблицы физических величин. /Под ред. Кикоина И.К. М.: Атомиздат, 1979, с. 461-467. 4. Епифанов Г.И. Физика твердого тела.-М.: Высшая шко ла, 1977, с. 262-269. Отчет МарПИ, 1984 г., с. 303."
289,Криолюминесценция,"Криолюминесценция - люминесценция, возникающая при быстром охлаждении жидкого вещества в темновых условиях.","криолюминесценция - люминесценция,возникающая при быстром охлаждении жидкого вещества в темновых условиях.",722b599de06e35b7bf96965f1db695dd,Скорость изменения температуры (К/с).Уменьшение от 1 до 10**6 К/с.,Электромагнитное излучение.Видимое (свет).Интенсивность из лучения (Вт/м**2).,Жидкость.,Для экспрессного качественного и количественного анализа состава вещества.,"1.Лапшин А.М.,Трохан А.М. Способ определения состава вещества.-Авт.свид. СССР 1002923, 1983. 2.Теплецкая Т.А. и др.Квазилинейчатые спектры сложных природных примесей.-М.:МГУ,1971. 3.Трохан А.М.,Лапшин Л.И.,Гудзенко О.И.Криолюминесцен ция жидкостей,ДАH, 1984, т.275, N1, с.83-86. Отчет ВолгПИ,1985 г."
290,Деформационное упрочнение металлов (наклеп),Упрочнение металлов при их пластическом деформировании. Предел прочности возрастает с увеличением степени пласти ческой деформации.,упрочнение металлов при их пластическом деформировании.предел прочности возрастает с увеличением степени пласти ческой деформации.,b514c60eee29199becc7b96dda7134e1,Относительная деформация (величина безразмерная). Изменение от 0 до 0.28-0.4.,Предел прочности (Па).Увеличение до 1.5-3 раза.,Металл.,Для повышения механических свойств деталей путем холодной обработки давлением.,"1.Бернштейн М.Л.,Займовский В.А.Механические свойства металлов.-М.:Металлургия,1979.-496 с. 2.Миркян Л.И.Физические основы прочности и пластичности - М.:Изд.МГУ,1968.-540 с. 3.Гуляев А.П.Металловедение.-М.:Металлургия,1977.-648 с Отчет ИвГУ,1985 г.,стр.184-188."
291,Сверхпластичность,"При высоких гомологических температурах под влиянием напряжений, величина которых зависит от скорости деформа ции,металлы проявляют способность к большим пластическим деформациям без нарушения внутренней сущности.","при высоких гомологических температурах под влиянием напряжений,величина которых зависит от скорости деформа ции,металлы проявляют способность к большим пластическим деформациям без нарушения внутренней сущности.",bdbb8f0e6106ee4ad36647540ed143ff,Скорость относительной деформации (с**-1).Изменение.От 10**-5 до 10**-1 с**-1.,Механическое напряжение (Па).Изменение.От 10**6 до 10**7 Па,Металлы.,"Эффект используется при обработке металлов давлением, в процессах соединения металлов и сплавов в твердом состоянии и т.д.","1.Калачев Б.А.Физические основы пластической деформации металлов.-М.,1978.-74 с. 2. Hовиков И.И.,Портной В.К.Сверхпластичность сплавов сН ультрамелким зерном.-М.:Металлургия,1981.-168 с. 3.Кайбышев О.А.Пластичность и сверхпластичность метал лов.-М.:Металлургия,1975,279 с. Отчет ИвГУ,1984 г.,книга 1,стр.96-109"
292,Фотоупругий (пьезооптический) эффект,Под воздействием механических напряжений некоторые изо тропные вещества становятся анизотропными.Вещество приобре тает свойства одноосного кристалла.Мерой возникающей опти ческой анизотропии служит разность показателей преломления обыкновенного и необыкновенного лучей .В анизотропном веще стве наблюдается двойное лучепреломление.,под воздействием механических напряжений некоторые изо тропные вещества становятся анизотропными.вещество приобре тает свойства одноосного кристалла.мерой возникающей опти ческой анизотропии служит разность показателей преломления обыкновенного и необыкновенного лучей.в анизотропном веще стве наблюдается двойное лучепреломление.,ee684bb073939ba27a829e4c39de6076,Вход 1. Электромагнитное излучение.Видимое.Монохроматичес кое.Линейно-поляризованное.Длина волны (м). Вход 2. Силовое (механическое) воздействие.Напряжение (Па).,Разность показателей преломления обыкновенного и необыкно венного лучей (величина безразмерная).,Оптически изотропное твердое тело.,Используется при исследовании напряжений в механических конструкциях.,"1.Жевандров Д.Применение поляризованного света.-М.: Hаука, 1978.-176 с. 2.Физический энциклопедический словарь.-М.:Советская энциклопедия,1983.-928 с. Отчет МарПИ,1985 г.,стр.330-332."
